LED3_2,,LED3_3,,LED3_4,,LED3_5,,LED3_6,,LED3_7,,LED3_8,,LED3_9,,LED3_10,,LED3_11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
273.0700073,0.05086728558,273.0700073,45.0684166,273.0700073,99.24207306,273.0700073,272.0891113,273.0700073,1000,273.0700073,1000,273.0700073,127.0664749,273.0700073,155.8065033,273.0700073,207.6911316,273.0700073,262.4751892,
274,0.1526018679,274,60.37947083,274,130.7289276,274,349.5599976,274,1000,274,1000,274,166.9464417,274,201.9431305,274,280.5330811,274,351.7981567,
275.0700073,0.1017345712,275.0700073,75.99572754,275.0700073,170.4562683,275.0700073,470.8276062,275.0700073,1000,275.0700073,1000,275.0700073,219.6449432,275.0700073,273.4625244,275.0700073,370.6699219,275.0700073,460.7558899,
276,0.1526018679,276,86.11831665,276,191.4644623,276,538.9389038,276,1000,276,1000,276,253.268219,276,308.7644348,276,415.2296753,276,529.4267578,
277.0700073,0.1526018679,277.0700073,97.2073822,277.0700073,211.5570526,277.0700073,600.7935181,277.0700073,1000,277.0700073,1000,277.0700073,279.7700806,277.0700073,344.9819336,277.0700073,469.098114,277.0700073,595.859436,
278,0.1526018679,278,97.97039795,278,222.1883087,278,608.7796631,278,1000,278,1000,278,289.1296692,278,353.9854736,278,481.4588623,278,609.0848999,
279.0700073,0.05086728558,279.0700073,91.51025391,279.0700073,209.5223541,279.0700073,574.9529419,279.0700073,1000,279.0700073,1000,279.0700073,271.3261108,279.0700073,330.8916931,279.0700073,454.8552856,279.0700073,575.4616089,
280,0.1526018679,280,84.08362579,280,185.6147308,280,513.3018188,280,1000,280,1000,280,247.2150116,280,301.0834656,280,413.7036438,280,519.100647,
280.9299927,0.05086728558,280.9299927,71.9263382,280.9299927,160.5371552,280.9299927,446.767395,280.9299927,1000,280.9299927,1000,280.9299927,213.7952118,280.9299927,263.9503479,280.9299927,359.2756348,280.9299927,461.8240967,
282.0299988,0.1526018679,282.0299988,57.37829971,282.0299988,130.2202454,282.0299988,370.4155884,282.0299988,1000,282.0299988,1000,282.0299988,175.5430145,282.0299988,214.3038788,282.0299988,291.7239075,282.0299988,370.0086365,
282.9599915,0.1017345712,282.9599915,46.18749619,282.9599915,104.0236053,282.9599915,291.978241,282.9599915,1000,282.9599915,1000,282.9599915,135.0526581,282.9599915,168.5741882,282.9599915,233.1247711,282.9599915,296.2002258,
284.0599976,0.1017345712,284.0599976,35.40363312,284.0599976,79.40383148,284.0599976,222.2391815,284.0599976,1000,284.0599976,1000,284.0599976,106.0074234,284.0599976,132.0514832,284.0599976,181.5453491,284.0599976,229.0045319,
285,0.05086728558,285,29.19782257,285,63.58411026,285,181.6979523,285,1000,285,1000,285,87.38999939,285,105.9565582,285,142.5301361,285,180.6297302,
